id,wave,age,sex,ethnicity,education,region,urbanisation,religion,religion_open,A1,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,A6_11,A6_12,A6_13,A6_14,A6_15,A6_16,A6_17,A6_18,A6_66,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_66,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_9,B2_10,B2_12,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,C1_A1,C1_A2,C1_A3,C1_A4,C1_A5,C1_A6,C1_A7,C1_A9,C1_A10,C1_A12,C1_A14,C1_A15,C1_A16,C1_A17,C1_A18,C1_A19,C1_A20,C1_A21,C5_1,C5_2,C5_3,D2_1,D2_2,D2_3,D2_4,E1,E2,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_11,E3_12,E3_13,E3_14,E3_15,E3_16,E3_17,E3_18,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F2_8,F2_9,F2b_1,F2b_2,F2b_3,G_eval_leaders_1,G_eval_leaders_2,G_eval_leaders_3,G_eval_leaders_4,G_eval_leaders_5,G_eval_leaders_6,G_eval_leaders_7,G_eval_leaders_8,G_eval_leaders_9,G_eval_leaders_10,G_eval_leaders_11,G_eval_leaders_12,G_eval_leaders_13,G_eval_leaders_14,G_eval_leaders_15,G_eval_leaders_16,G_eval_leaders_17,G_eval_leaders_18,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G2_9,G2_10,G2_11,G2_12,G2_13,G2_14,G2_15,G2_16,G2_17,G2_18,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,G3_9,G3_10,G3_11,G3_12,G3_13,G3_14,G3_15,G3_16,G3_17,G3_18,G4_1,G4_2,G4_3,G4_4,G4_5,G4_6,G4_7,G4_8,G4_9,G4_10,G4_11,G4_12,G4_13,G4_14,G4_15,G4_16,G4_17,G4_18,H4_1,H4_2,H4_3,H4_4,H4_5,H4_6,H4_7,H4_8,H4_9,H4_10,H4b_1,H4b_2,H4b_3,H4b_4,H4b_5,H4b_6,H4b_7,H4b_8,H4b_9,H4b_10,H7_1,H7_2,H7_3,H7_4,H7_5,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I20_1,I20_2,I20_3,I20_4,I20_5,I20_6,I20_7,I21_1,I21_2,I21_3
683945,1,65,Female,Dutch,Medium,West of the country,Strongly urbanised,66,christelijk,Yes,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,EU & Euro,Health Care,Asylumseekers & Migrants,Economy,Health Care,Housing,Asylumseekers & Migrants,poverty and equity,Asylumseekers & Migrants,EU & Euro,Asylumseekers & Migrants,Employment & Social Safety,Environment,EU & Euro,Environment,NA,NA,NA,Health Care,Education & Science,Mobility & Infrastructure,3,4,3,3,50Plus,5,7,5,7,4,4,4,7,4,5,7,5,7,3,8,5,5,7,7,4,4,1,2,2,3,4,2,4,2,3,4,1,1,1,1,1,1,1,1,1,1,4,4,1,4,4,1,4,1,3,4,2,3,3,2,2,4,4,3,NA,NA,4,NA,NA,4,NA,2,4,4,2,4,3,2,2,4,4,2,NA,NA,4,NA,NA,4,NA,2,4,4,2,4,3,3,2,4,3,3,NA,NA,4,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3,2,3,4,4,5,5,5,0,0,3,0,4,4,4,3,1,4,2,3,2,3
384407,1,25,Female,Dutch,High,East  of the country,Strongly urbanised,7,,Yes,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,1,1,3,2,2,3,2,1,2,2,2,1,1,Different topic,No topic,Asylumseekers & Migrants,Different topic,poverty and equity,Environment,Different topic,No topic,Economy,EU & Euro,Different topic,Health Care,Different topic,Different topic,Economy,NA,NA,NA,poverty and equity,Different topic,Environment,4,4,4,4,Bij1,0,9,6,5,9,4,4,10,3,4,10,8,6,7,5,11,5,0,10,3,2,1,3,1,3,4,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,1,1,1,2,2,3,3,3,1,4,3,2,NA,3,4,NA,NA,2,5,1,1,3,1,4,4,4,1,4,3,2,NA,3,3,NA,NA,2,5,1,1,2,1,2,3,3,1,4,3,1,NA,3,2,NA,NA,2,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,9,NA,NA,NA,NA,NA,NA,NA,4,1,5,5,4,0,0,0,1,7,4,0,2,2,2,2,3,4,2,3,3,4
1195959,1,48,Female,Dutch,Medium,East  of the country,Lowly urbanised,66,Zeg ik liever niet!,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,3,1,EU & Euro,EU & Euro,Asylumseekers & Migrants,Economy,Norms & Values,Education & Science,Norms & Values,Health Care,Norms & Values,Housing,Housing,Economy,Housing,Housing,Mobility & Infrastructure,NA,NA,NA,Housing,Asylumseekers & Migrants,Security,2,2,4,2,BBB,7,5,4,9,4,0,6,11,2,2,11,0,4,7,11,5,7,11,11,4,2,3,3,3,3,4,2,3,4,2,4,2,1,1,1,1,1,1,4,4,1,4,4,1,4,4,1,1,1,NA,4,3,3,4,3,1,NA,NA,3,NA,NA,4,NA,NA,4,3,3,NA,4,4,4,5,3,1,NA,NA,3,NA,NA,5,NA,NA,5,3,4,NA,4,4,4,5,3,1,NA,NA,3,NA,NA,5,NA,NA,5,3,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,4,2,3,3,3,2,0,0,7,4,4,0,4,4,4,4,1,3,3,3,3,2
360645,1,69,Female,Dutch,Medium,East  of the country,Medium urbanised,2,,Yes,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,3,3,1,Economy,Environment,Asylumseekers & Migrants,Norms & Values,poverty and equity,poverty and equity,No topic,Norms & Values,No topic,EU & Euro,No topic,Different topic,Different topic,Different topic,No topic,NA,NA,NA,Environment,Employment & Social Safety,poverty and equity,2,1,3,3,GL,2,9,5,10,8,0,3,10,1,4,9,8,5,6,11,11,5,11,10,4,4,2,4,3,4,5,3,3,4,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,4,1,4,5,2,5,5,4,1,4,5,2,NA,4,5,NA,NA,4,NA,1,3,5,1,5,4,4,1,3,4,1,NA,5,5,NA,NA,3,NA,1,4,4,4,4,5,5,1,4,4,2,NA,4,5,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,5,1,4,4,4,7,6,4,2,0,4,2,4,4,4,4,1,3,3,3,3,3
243601,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266168,1,66,Male,Dutch,Medium,East  of the country,Lowly urbanised,7,,Yes,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,3,2,2,3,3,3,2,2,2,2,3,2,1,1,2,1,3,Asylumseekers & Migrants,Environment,Norms & Values,Education & Science,No topic,Environment,EU & Euro,Culture of governance,poverty and equity,Asylumseekers & Migrants,Asylumseekers & Migrants,Health Care,Norms & Values,Asylumseekers & Migrants,Norms & Values,NA,NA,NA,Employment & Social Safety,Housing,Security,3,1,2,2,FvD,8,0,0,8,2,0,1,8,1,4,0,2,0,6,0,0,6,0,7,2,1,1,2,1,1,4,2,3,3,3,4,1,1,1,4,1,1,1,4,4,1,4,4,1,4,4,1,4,1,1,1,4,NA,3,1,4,NA,NA,4,NA,NA,5,NA,NA,5,NA,5,1,1,4,NA,3,1,4,NA,NA,4,NA,NA,5,NA,NA,5,NA,5,2,1,4,NA,4,1,4,NA,NA,4,NA,NA,5,NA,NA,5,NA,5,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,7,5,10,NA,NA,NA,NA,NA,3,2,2,3,1,5,3,5,4,7,6,6,1,2,1,1,1,4,2,3,3,4
640654,1,52,Male,Dutch,Medium,South  of the country,Lowly urbanised,66,Katholiek maar niet praktiserend,Yes,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,3,3,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,NA,Environment,Asylumseekers & Migrants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Health Care,Mobility & Infrastructure,Economy,5,5,4,3,VVD,7,7,2,10,6,0,1,10,0,5,7,5,5,7,0,5,8,0,5,3,2,2,2,1,2,4,3,2,4,2,2,1,1,1,4,1,1,1,1,4,1,4,4,1,4,4,1,4,1,3,1,2,NA,4,1,1,3,NA,4,NA,NA,4,NA,NA,4,NA,2,4,2,1,NA,4,1,1,3,NA,4,NA,NA,4,NA,NA,4,NA,2,3,2,4,NA,4,2,1,3,NA,4,NA,NA,4,NA,NA,4,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,8,NA,NA,NA,NA,NA,3,2,4,3,2,1,0,1,1,0,2,0,3,2,3,3,2,4,3,3,3,3
302159,1,29,Female,Dutch,High,East  of the country,Strongly urbanised,7,,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,Employment & Social Safety,Economy,Asylumseekers & Migrants,No topic,poverty and equity,Environment,Asylumseekers & Migrants,No topic,Norms & Values,Norms & Values,Norms & Values,Health Care,Environment,Norms & Values,Security,NA,NA,NA,Health Care,poverty and equity,Environment,4,3,4,5,D66,2,7,3,9,5,3,2,10,2,8,11,8,11,11,11,11,5,4,11,4,4,3,3,3,3,4,2,4,5,1,2,1,1,1,4,1,1,1,4,4,4,4,4,1,4,4,1,4,4,4,3,3,NA,3,4,1,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,4,4,2,NA,3,4,1,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,4,4,3,NA,3,4,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3,2,4,3,2,2,1,1,0,1,1,0,3,4,3,3,2,3,2,3,3,4
1101450,1,67,Female,Dutch,Low,West of the country,Medium urbanised,7,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3,2,3,3,2,3,2,3,3,3,3,2,2,3,3,3,3,2,Different topic,NA,Norms & Values,Development Aid,NA,Asylumseekers & Migrants,NA,poverty and equity,Asylumseekers & Migrants,Culture of governance,Environment,NA,NA,Employment & Social Safety,EU & Euro,Mobility & Infrastructure,No topic,NA,Health Care,Housing,Security,3,3,3,3,Other,7,9,3,6,7,3,1,10,1,2,10,8,3,7,4,5,8,1,10,3,2,2,1,2,3,3,2,2,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,3,3,3,3,3,2,2,3,3,3,3,3,4,2,NA,3,NA,2,4,4,3,4,4,2,2,2,3,3,4,3,4,2,NA,4,NA,2,3,3,3,3,3,3,2,3,3,3,3,3,4,2,NA,3,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,3,2,4,2,3,4,7,7,4,0,3,0,3,3,3,3,1,3,2,4,3,3
272307,1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
961343,1,73,Female,Dutch,Medium,West of the country,Medium urbanised,2,,Yes,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,3,3,1,Asylumseekers & Migrants,Economy,Norms & Values,Norms & Values,Economy,NA,NA,Environment,Asylumseekers & Migrants,NA,Environment,NA,NA,Security,Security,Economy,Health Care,NA,Health Care,Environment,Asylumseekers & Migrants,3,3,3,2,PvdD,99,0,1,0,7,0,0,0,6,5,6,1,3,5,0,3,7,0,2,4,3,3,2,2,2,3,1,2,4,3,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,4,4,4,3,3,4,3,3,1,3,4,4,3,NA,4,4,NA,4,NA,NA,5,4,2,4,3,3,1,3,4,5,3,NA,5,4,NA,5,NA,NA,4,4,3,4,3,3,1,4,4,4,3,NA,4,3,NA,5,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,8,NA,NA,NA,NA,NA,4,1,3,3,4,7,7,3,7,7,3,7,3,4,4,4,3,4,3,4,3,3
775494,1,66,Male,Dutch,High,South  of the country,Strongly urbanised,1,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,Different topic,Environment,Norms & Values,Asylumseekers & Migrants,EU & Euro,No topic,Asylumseekers & Migrants,Environment,Asylumseekers & Migrants,Culture of governance,Environment,Asylumseekers & Migrants,Norms & Values,Employment & Social Safety,EU & Euro,Security,NA,No topic,Asylumseekers & Migrants,Security,Norms & Values,4,4,3,3,JA21,8,6,2,10,5,2,2,10,2,2,9,9,2,7,2,11,7,0,9,4,3,1,2,2,2,4,3,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,2,1,4,4,4,2,2,4,4,4,3,2,4,1,NA,4,NA,3,2,2,4,5,5,1,3,3,4,4,3,2,4,1,NA,4,NA,3,2,1,4,4,4,1,3,4,4,4,3,2,4,1,NA,4,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,7,6,6,4,2,4,0,4,4,4,3,1,3,1,2,3,3
372852,1,28,Male,Dutch,High,"Three big cities (Amsterdam, Rotterdam, The Hague)",Very strongly urbanised,7,,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,1,2,1,1,2,1,3,3,3,3,2,2,1,1,2,2,3,Economy,Education & Science,Asylumseekers & Migrants,No topic,poverty and equity,Norms & Values,Different topic,Norms & Values,Economy,EU & Euro,poverty and equity,poverty and equity,Culture of governance,poverty and equity,Economy,NA,NA,NA,Environment,poverty and equity,Norms & Values,2,1,1,4,PvdD,2,8,5,7,7,2,3,10,2,5,9,8,5,8,3,7,8,2,9,5,5,2,4,4,4,5,2,2,5,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,4,4,1,4,1,2,4,2,3,3,4,1,4,NA,3,NA,4,4,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,5,1,5,5,5,1,7,0,7,0,6,6,2,4,3,3,1,4,3,4,2,4
701262,1,65,Female,Western Migrant,Low,South  of the country,Lowly urbanised,1,,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,3,3,3,2,1,1,1,2,3,3,3,2,3,2,3,2,2,Security,Environment,Asylumseekers & Migrants,Housing,poverty and equity,No topic,No topic,No topic,Asylumseekers & Migrants,EU & Euro,poverty and equity,poverty and equity,Environment,No topic,Asylumseekers & Migrants,NA,NA,NA,Culture of governance,Asylumseekers & Migrants,Security,3,3,3,4,PVV,5,10,10,9,5,1,1,10,7,5,9,5,5,5,2,5,6,10,10,3,3,1,2,1,3,4,2,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,3,3,3,3,3,1,1,3,3,3,3,3,5,NA,NA,4,NA,3,4,3,3,4,3,1,1,3,4,3,4,3,5,NA,NA,5,NA,3,4,3,4,4,4,2,1,3,3,4,4,3,5,NA,NA,5,NA,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,4,2,4,3,3,7,0,0,7,0,3,0,3,3,3,4,1,3,1,3,4,3
1006385,1,48,Female,Dutch,Medium,East  of the country,Medium urbanised,1,,Yes,NA,NA,NA,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,Asylumseekers & Migrants,No topic,Asylumseekers & Migrants,No topic,poverty and equity,Environment,No topic,poverty and equity,No topic,No topic,No topic,No topic,Environment,No topic,No topic,NA,NA,NA,Asylumseekers & Migrants,Norms & Values,Security,1,3,2,1,VVD,8,9,0,10,2,0,0,10,0,2,0,6,3,11,10,3,8,0,11,3,3,3,2,2,3,3,2,3,3,4,5,1,4,1,4,1,1,1,4,4,4,4,4,1,4,4,1,4,4,5,NA,4,NA,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,5,NA,5,NA,2,1,1,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,4,NA,5,NA,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,1,4,4,5,3,5,0,1,0,0,0,3,4,4,3,1,2,1,4,3,3
1077828,1,54,Male,Dutch,High,North  of the country,Lowly urbanised,7,,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,2,2,1,1,3,1,3,1,1,1,3,3,1,3,3,1,1,2,NA,NA,NA,NA,Asylumseekers & Migrants,NA,Norms & Values,NA,NA,NA,Housing,Asylumseekers & Migrants,NA,Norms & Values,Asylumseekers & Migrants,NA,NA,NA,Asylumseekers & Migrants,Security,Health Care,3,3,2,1,PVV,7,4,0,9,2,6,0,10,1,1,10,4,7,6,6,5,9,0,7,1,1,1,1,1,2,1,1,1,2,2,5,1,1,1,1,1,1,1,4,4,4,4,4,1,4,4,1,4,1,3,1,4,1,5,1,3,NA,NA,NA,NA,NA,3,NA,NA,3,NA,5,3,1,3,1,5,1,3,NA,NA,NA,NA,NA,3,NA,NA,2,NA,4,1,1,5,1,5,1,3,NA,NA,NA,NA,NA,4,NA,NA,3,NA,5,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,5,10,8,10,NA,NA,NA,NA,NA,1,3,3,1,1,1,0,1,3,5,4,1,1,1,1,1,2,3,3,3,3,3
300280,1,54,Male,Dutch,Medium,South  of the country,Strongly urbanised,7,,Yes,NA,1,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,1,3,1,3,3,1,1,2,2,3,1,1,NA,NA,NA,poverty and equity,NA,NA,NA,Environment,NA,Culture of governance,Environment,NA,NA,NA,NA,Asylumseekers & Migrants,NA,NA,poverty and equity,Economy,Health Care,1,1,1,1,SP,4,8,4,10,6,2,5,10,3,5,10,8,5,6,3,11,7,3,10,3,4,2,2,3,4,4,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,2,4,3,4,4,2,1,3,4,1,3,3,4,NA,NA,3,NA,1,2,3,2,4,4,2,1,2,4,1,3,3,3,NA,NA,2,NA,1,2,3,2,4,4,2,1,1,4,1,3,3,3,NA,NA,2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,3,2,2,3,2,5,2,7,2,0,4,0,3,4,4,3,2,3,3,4,3,3
964665,1,68,Male,Dutch,Low,South  of the country,Strongly urbanised,1,,Yes,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,2,3,3,3,3,1,2,2,2,3,2,3,2,2,2,3,3,3,Asylumseekers & Migrants,Asylumseekers & Migrants,Asylumseekers & Migrants,Norms & Values,poverty and equity,Environment,EU & Euro,Norms & Values,No topic,No topic,Asylumseekers & Migrants,Employment & Social Safety,Environment,No topic,No topic,NA,NA,NA,Health Care,Mobility & Infrastructure,Security,3,2,3,2,PVV,8,8,2,10,5,1,4,10,4,5,7,5,7,5,3,5,7,5,5,3,3,3,3,3,3,3,3,3,4,2,4,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,4,1,4,3,4,3,3,3,1,3,3,3,NA,3,4,NA,NA,4,NA,3,3,2,4,3,2,3,2,3,3,3,NA,3,5,NA,NA,4,NA,3,4,2,5,3,3,3,2,3,3,3,NA,3,5,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,3,3,2,0,0,4,4,0,4,4,3,3,3,3,3,3,3,3,3,2
586203,1,35,Male,Dutch,High,West of the country,Very strongly urbanised,7,,Yes,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Environment,Development Aid,Education & Science,2,3,4,5,Volt,0,7,4,8,5,2,3,10,0,6,10,10,1,6,11,3,10,1,11,5,3,1,4,3,2,5,1,1,4,2,2,2,1,1,4,1,1,1,4,4,1,4,1,1,4,4,1,4,4,NA,4,1,NA,2,4,1,NA,NA,2,NA,4,5,NA,NA,1,NA,NA,NA,3,2,NA,3,4,1,NA,NA,2,NA,4,5,NA,NA,1,NA,NA,NA,3,3,NA,3,3,3,NA,NA,2,NA,4,4,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,3,8,NA,7,NA,NA,NA,NA,NA,5,1,2,4,3,0,0,0,0,0,1,1,1,1,3,3,1,2,3,1,4,3
